id,fr,en,ja
aboiement,aboiement,barking,吠える
accident,accident,accident,事故
addition,addition,addition,追加
allumetes,allumettes,matches,マッチ
alphabet,alphabet,alphabet,ローマ字
ampoule,ampoule,light bulb,バルブ
ancre,ancre,anchor,アンカー
ange,ange,angel,天使
appartement,appartement,appartment,アパート
applaudissement,applaudissement,applause,拍手
aquarium,aquarium,aquarium,水族館
arbre,arbre,tree,木
argent,argent,money,お金
assiette,assiette,plate,皿
auto,auto,car,車
avion,avion,airplane,飛行機
baggage,baggage,luggage,荷物
bague,bague,ring,指輪
bain,bain,bath,お風呂
balance,balance,balance,バランス
ballons,ballons,balloons,風船
bananes,bananes,banana,バナナ
bateau,bateau,boat,ボート
beigne,beigne,donut,ドーナツ
bicyclette,bicyclette,bicycle,自転車
biscuit,biscuit,cookie,クッキー
blanc,blanc,white,白
bleu,bleu,blue,青
bleuet,bleuet,blueberry,ブルーベリー
boite,boite,box,箱
bonbons,bonbons,candies,飴
bougies,bougies,candles,ロウソク
bouteille,bouteille,bottle,ボトル
boutons,boutons,buttons,ボタン
branche,branche,branch,支店
bras,bras,arm,腕
bureau,bureau,desk,机
cadeau,cadeau,present,ブレゼント
cage,cage,cage,ケージ
camion,camion,truck,トラック
canard,canard,duck,アヒル
canot,canot,canoe,カヌー
carotte,carotte,carrot,にんじん
casque,casque,helmet,ヘルメット
ceinture,ceinture,belt,ベルト
cent,cent,hundred,百
cerveau,cerveau,brain,脳
chaise,chaise,chair,椅子
chandail,chandail,t-shirt,せーターtシャツ
chapeau,chapeau,hat,帽子
chat,chat,cat,猫
chateau,chateau,castle,城
chemise,chemise,shirt,シャツ
cheval,cheval,horse,馬
cheveux,cheveux,hairs,髪
chien,chien,dog,犬
chocolat,chocolat,chocolate,チョコレート
ciseaux,ciseaux,scisor,ハサミ
citrouille,citrouille,pumpkin,かぼちゃ
crayon,crayon,pen,鉛筆
cloches,cloches,bells,鐘
clou,clou,nail,ネイル
cochon,cochon,pig,豚
coeur,coeur,heart,心
coffre,coffre,chest,胸
collier,collier,necklace,ネックレス
concombre,concombre,cucomber,きゅうり
couteau,couteau,knife,ナイフ
dent,dent,tooth,歯
dix,dix,ten,十
docteur,docteur,doctor,医者
dormir,dormir,sleep,寝る
douze,douze,twelve,十二
encre,encre,ink,インク
escalier,escalier,stairs,階段
ecole,école,school,学校
etoile,étoile,star,星
facteur,facteur,postman,郵便局(屋さん)
feu,feu,fire,火
feuilles,feuilles,leaves,葉
fleurs,fleurs,flowers,花
flute,flute,flute,フルート
fontaine,fontaine,fountain,噴水
fraises,fraises,strawberries,イチゴ
framboises,framboises,raspberries,ラズベリー
fromage,fromage,cheese,チーズ
fruits,fruits,fruits,果物
fusil,fusil,gun,ライフル　銃
glace,glace,ice,氷
golf,golf,golf,ゴルフ
hache,hache,axe,斧
hockey,hockey,hockey,ホッケー
horloge,horloge,clock,時計
incendie,incendie,fire,火災
insecte,insecte,insect,虫
jambe,jambe,leg,脚
jaune,jaune,yellow,黄色
journal,journal,newspaper,新聞
jus,jus,juice,ジュース
lapin,lapin,rabbit,ウサギ
livre,livre,book,本
lune,lune,moon,月
lunettes,lunettes,glasses,メガネ
maillot,maillot,swimsuit,水着
main,main,hand,手
maison,maison,house,家
marteau,marteau,hammer,ハンマー
miel,miel,honey,蜂蜜
mirroir,mirroir,mirror,鏡
monstre,monstre,monster,モンスター
montagne,montagne,mountain,山
montre,montre,watch,時計
moteur,moteur,engine,エンジン
mouche,mouche,fly,ハエ
moustache,moustache,mustache,口ひげ
moustique,moustique,mosquito,蚊
mouton,mouton,sheep,羊
nager,nager,swimming,泳ぐ
nez,nez,nose,鼻
nid,nid,nest,巣
noir,noir,black,黒
nuages,nuages,clouds,雲
oeil,oeil,eye,目
